experiment,module,shape,variant,device,dtype,repeat,warmup,num_parameters,estimated_weight_size_MB,fp32_weight_size_MB,fp16_weight_size_MB,int8_weight_size_MB,int4_weight_size_MB,compression_ratio_vs_fp32,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms
pi0_aligned_random_quant,visual_projector,"[1,768,1152]->[1,768,2048]",fp32,cuda,float32,5,3,2361344,9.0078125,9.0078125,4.50390625,2.251953125,1.1259765625,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,0.3134698000167191,0.002740550112842178
pi0_aligned_random_quant,visual_projector,"[1,768,1152]->[1,768,2048]",fp16,cuda,float32,5,3,2361344,4.50390625,9.0078125,4.50390625,2.251953125,1.1259765625,2.0,1.2919035441427695e-07,0.0002828070428222418,0.0021944046020507812,0.9999999403953552,0.00035979115637019277,0.11513340000419703,0.009059340460653306
pi0_aligned_random_quant,visual_projector,"[1,768,1152]->[1,768,2048]",int8_fake_quant,cuda,float32,5,3,2361344,2.251953125,9.0078125,4.50390625,2.251953125,1.1259765625,4.0,0.0002734712907113135,0.01319316029548645,0.08481192588806152,0.9998630285263062,0.01655355468392372,0.46607280000898754,0.0011401181131524105
pi0_aligned_random_quant,visual_projector,"[1,768,1152]->[1,768,2048]",int4_weight_only_fake_quant,cuda,float32,5,3,2361344,1.1259765625,9.0078125,4.50390625,2.251953125,1.1259765625,8.0,0.020649736747145653,0.1140860915184021,0.7992607355117798,0.9898165464401245,0.14384430646896362,0.38828199999443314,0.0016201628123796484
pi0_aligned_random_quant,visual_projector,"[1,768,1152]->[1,768,2048]",w4a8_fake_quant,cuda,float32,5,3,2361344,1.1259765625,9.0078125,4.50390625,2.251953125,1.1259765625,8.0,0.02077334187924862,0.11442786455154419,0.8066887855529785,0.9897559881210327,0.14427417516708374,0.4751405999968483,0.0026694648527220612
pi0_aligned_random_quant,vlm_attention_q_proj_seq256,"[1,256,2048]->[1,256,2048]",fp32,cuda,float32,10,3,4196352,16.0078125,16.0078125,8.00390625,4.001953125,2.0009765625,1.0,0.0,0.0,0.0,1.0,0.0,0.18937189998950998,0.002669180596624752
pi0_aligned_random_quant,vlm_attention_q_proj_seq256,"[1,256,2048]->[1,256,2048]",fp16,cuda,float32,10,3,4196352,8.00390625,16.0078125,8.00390625,4.001953125,2.0009765625,2.0,1.735175629846708e-07,0.00032328226370736957,0.0030770301818847656,0.9999999403953552,0.0004166019498370588,0.07709559999966586,0.0024264037971296983
pi0_aligned_random_quant,vlm_attention_q_proj_seq256,"[1,256,2048]->[1,256,2048]",int8_fake_quant,cuda,float32,8,3,4196352,4.001953125,16.0078125,8.00390625,4.001953125,2.0009765625,4.0,0.00026299466844648123,0.012930216267704964,0.07724630832672119,0.9998685121536255,0.016218960285186768,0.44673312500265183,0.002399018784511651
pi0_aligned_random_quant,vlm_attention_q_proj_seq256,"[1,256,2048]->[1,256,2048]",int4_weight_only_fake_quant,cuda,float32,8,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022531114518642426,0.11931584030389786,0.85875403881073,0.9889178276062012,0.150120809674263,0.42457424999753357,0.002427645367564229
pi0_aligned_random_quant,vlm_attention_q_proj_seq256,"[1,256,2048]->[1,256,2048]",w4a8_fake_quant,cuda,float32,8,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.02264023944735527,0.11960534751415253,0.860275387763977,0.9888653755187988,0.1504839062690735,0.46232112499922096,0.004466030696572229
pi0_aligned_random_quant,vlm_attention_k_proj_seq256,"[1,256,2048]->[1,256,256]",fp32,cuda,float32,10,3,524544,2.0009765625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,1.0,0.0,0.0,0.0,0.9999998807907104,0.0,0.13245260000189774,0.0029693562622197527
pi0_aligned_random_quant,vlm_attention_k_proj_seq256,"[1,256,2048]->[1,256,256]",fp16,cuda,float32,10,3,524544,1.00048828125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,2.0,2.1628784452332184e-07,0.00035737542202696204,0.00267791748046875,0.9999999403953552,0.00046349898912012577,0.03845370000590265,0.003058052217094532
