experiment,module,subexperiment,shape,variant,baseline,family,device,dtype,repeat,warmup,kl_divergence,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",exact_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,0.0,0.0,0.0,1.0,0.0,2.449941999998373,0.0033352072848872156
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",tanh_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,1.6712800032792074e-08,0.00010309206845704466,0.0007128715515136719,1.0,0.0001979570952244103,2.412171600030888,0.0018831767239072797
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",pwl_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,0.0021172864362597466,0.036697905510663986,0.210158109664917,0.9975829124450684,0.07045897096395493,4.082281200021498,0.15450430802594028
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",clipped_linear_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,0.02347724884748459,0.122309111058712,0.7507128119468689,0.9764617681503296,0.23462271690368652,2.43865600002664,0.004178963380740212
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",identity,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,0.43239498138427734,0.524143636226654,3.127460241317749,0.7647914290428162,1.0069010257720947,2.441020799983562,0.004217423194920769
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",exact_silu,exact_silu,silu_family,cuda,float32,5,3,not_applicable,0.0,0.0,0.0,1.0,0.0,2.4755508000225745,0.010462692511987559
pi0_aligned_random_simplify,vlm_ffn_seq128,ffn_activation,"[1, 128, 2048]",hard_swish,exact_silu,silu_family,cuda,float32,5,3,not_applicable,0.0030603380873799324,0.0441630482673645,0.2693150043487549,0.9961643218994141,0.09255412966012955,2.4726223999778085,0.003477339669097199
pi0_aligned_random_simplify,vlm_ffn_seq256,ffn_activation,"[1, 256, 2048]",exact_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,0.0,0.0,0.0,0.9999999403953552,0.0,5.820223599994279,0.007519925376672818
pi0_aligned_random_simplify,vlm_ffn_seq256,ffn_activation,"[1, 256, 2048]",tanh_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,1.6510439238004437e-08,0.00010241578274872154,0.0006237030029296875,1.0,0.00019698079267982394,5.831892199989852,0.006735328282846363
pi0_aligned_random_simplify,vlm_ffn_seq256,ffn_activation,"[1, 256, 2048]",pwl_gelu,exact_gelu,gelu_family,cuda,float32,5,3,not_applicable,0.002095469506457448,0.03649742901325226,0.22552964091300964,0.9976018071174622,0.07017546147108078,9.035762599978625,0.023775871047790834
