experiment,module,status,skip_reason,uses_real_weights,input_type,original_weight_shape,used_weight_shape,transposed,variant
pi0_real_weight_quant,visual_projector,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,vlm_attention_q_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,vlm_attention_k_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,vlm_attention_v_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,vlm_attention_o_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,vlm_ffn,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,action_expert_ffn,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,state_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,action_in_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
pi0_real_weight_quant,action_out_proj,skipped,no extracted real pi0 tensors available; full checkpoint download was skipped by size limit or extraction found no keys,False,random_tensor_if_available,missing,missing,not_applicable,not_run
