experiment,module,subexperiment,shape,variant,baseline,family,device,dtype,repeat,warmup,uses_real_weights,input_type,weight_group,kl_divergence,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms,score_source,weight_key
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",exact_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.0,0.0,0.0,0.9999999403953552,0.0,2.0034543331348686,0.003145043992487082,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",tanh_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,3.2233199931397394e-07,0.00045118629350326955,0.0055370330810546875,1.0,0.00018160608306061476,1.9979106670386197,0.00018578556118861486,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",pwl_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.0391559973359108,0.15572693943977356,2.7811546325683594,0.998171329498291,0.06329622864723206,3.48718233362888,0.005291738709285258,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",clipped_linear_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.5329328775405884,0.5747216939926147,8.68261432647705,0.9775571227073669,0.23351506888866425,1.9746739999391139,0.0016274552776281185,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",identity,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,9.855552673339844,2.466904401779175,26.648794174194336,0.7289987802505493,1.004197597503662,1.929660666670922,0.0017375489235643207,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",exact_silu,exact_silu,silu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.0,0.0,0.0,0.9999998807907104,0.0,1.955895666469587,0.0029261761857997393,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",hard_swish,exact_silu,silu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.06723462045192719,0.20437705516815186,2.9047412872314453,0.9962897300720215,0.09134645760059357,2.0009126662140866,0.001479475074760565,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",exact_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.0,0.0,0.0,1.0,0.0,0.20645333340022867,0.0015297063368207209,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",tanh_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,2.480867777876483e-08,0.00012499865260906518,0.0011184215545654297,0.9999999403953552,0.00019662371778395027,0.2031806664793597,0.0010228316096540634,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",pwl_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.0029042570386081934,0.04292892664670944,0.27521955966949463,0.9978142976760864,0.06727466732263565,1.0650463333756004,0.015256582430675044,,
